shortName,name,averageDelay,passagesCount,latitude,longitude
2626,Jana Kazimierza,2.756470588235294,1700,50.09500416666667,20.047139722222223
2731,Skarżyńskiego,-0.14285714285714285,7,50.08405,19.99649
2737,Os.Mistrzejowice Nowe,3.943661971830986,71,50.09504805555556,20.021054166666666
2779,Budzyń Zalew na Piaskach (nż),2.5,6,50.04946277777778,19.799387222222222
2947,Wrząsowice Pileckiego (nż),1.48,25,49.9574,19.946238333333334
3036,Szpital Narutowicza,4.244860943168077,1654,50.0835,19.9367
31,Dożynkowa,1.6486486486486487,74,50.10248611111111,19.94604222222222
3117,Dąbrowskiej,-1.5,8,50.07812,20.01489
3172,Taklińskiego (nż),4.8375,80,49.98655,19.9089
3194,Dziekanowicka (nż),0.6666666666666666,3,50.10417,19.99224
797,Radziszów Leśniczówka (nż),3.2807692307692307,260,49.91610166666667,19.818510555555555
100,Prądnik Czerwony,3.205357142857143,224,50.09634805555555,19.974204722222222
1106,Brzeźnica,6.5,4,49.9669,19.6286
2646,Szymańskiego (nż),4.9,50,50.07503083333334,20.139589444444443
2775,Nałkowskiej,5.045454545454546,88,49.98063527777778,19.87344138888889
2902,Rączna Boisko (nż),2.5474683544303796,316,50.00394527777778,19.76650861111111
1079,Węgrzce Błonie,1.0,2,50.1255,19.9747
1254,Zajezdnia Wola Duchacka,5.783269961977187,263,50.023983333333334,19.959859722222223
2554,Wadów Glinik (nż),3.5652173913043477,23,50.0927575,20.133185555555556
2571,Sułkowskiego,4.507215007215007,1386,50.02363111111111,19.968977777777777
2603,Bulwarowa Ogródki Działkowe (nż),7.689497716894977,657,50.071104166666665,20.05351388888889
